,start_time,end_time,activity,real_start,real_end
11:31:49.953598,0 days 00:01:44.953598000,0 days 00:01:44.979202000,empty,0 days 11:31:49.953598000,0 days 11:31:49.979202000
11:33:56.006699,0 days 00:01:45.006699000,0 days 00:01:45.032303000,empty,0 days 11:33:56.006699000,0 days 11:33:56.032303000
11:35:41.871696,0 days 00:01:44.871696000,0 days 00:01:44.897301000,empty,0 days 11:35:41.871696000,0 days 11:35:41.897301000
11:37:26.970901,0 days 00:01:44.970901000,0 days 00:01:44.996498000,empty,0 days 11:37:26.970901000,0 days 11:37:26.996498000
11:39:11.989403,0 days 00:01:44.989403000,0 days 00:01:45.014999000,empty,0 days 11:39:11.989403000,0 days 11:39:12.014999000
11:40:58.023399,0 days 00:01:45.023399000,0 days 00:01:45.049004000,empty,0 days 11:40:58.023399000,0 days 11:40:58.049004000
11:42:42.781403,0 days 00:01:44.781403000,0 days 00:01:44.806999000,empty,0 days 11:42:42.781403000,0 days 11:42:42.806999000
11:44:28.797401,0 days 00:01:44.797401000,0 days 00:01:44.822998000,empty,0 days 11:44:28.797401000,0 days 11:44:28.822998000
11:46:13.900497,0 days 00:01:44.900497000,0 days 00:01:44.926102000,empty,0 days 11:46:13.900497000,0 days 11:46:13.926102000
11:47:58.889000,0 days 00:01:44.889000000,0 days 00:01:44.914597000,empty,0 days 11:47:58.889000000,0 days 11:47:58.914597000
11:49:44.894699,0 days 00:01:44.894699000,0 days 00:01:44.920303000,empty,0 days 11:49:44.894699000,0 days 11:49:44.920303000
11:51:29.945297,0 days 00:01:44.945297000,0 days 00:01:44.970901000,empty,0 days 11:51:29.945297000,0 days 11:51:29.970901000
11:53:15.919701,0 days 00:01:44.919701000,0 days 00:01:44.945297000,empty,0 days 11:53:15.919701000,0 days 11:53:15.945297000
11:55:01.089302,0 days 00:01:45.089302000,0 days 00:01:45.114899000,empty,0 days 11:55:01.089302000,0 days 11:55:01.114899000
11:56:46.236099,0 days 00:01:44.236099000,0 days 00:01:45.297203000,search,0 days 11:56:46.236099000,0 days 11:56:47.297203000
11:56:47,0 days 00:00:00.000000000,0 days 00:00:00.438240000,search,0 days 11:56:47.000000000,0 days 11:56:47.438240000
11:58:35.102400,0 days 00:00:02.102400000,0 days 00:00:02.161280000,search,0 days 11:58:35.102400000,0 days 11:58:35.161280000
12:02:03.116203,0 days 00:01:45.116203000,0 days 00:01:45.141800000,empty,0 days 12:02:03.116203000,0 days 12:02:03.141800000
12:03:49.006104,0 days 00:01:45.006104000,0 days 00:01:45.031700000,empty,0 days 12:03:49.006104000,0 days 12:03:49.031700000
12:05:34.121300,0 days 00:01:45.121300000,0 days 00:01:45.146896000,empty,0 days 12:05:34.121300000,0 days 12:05:34.146896000
12:06:23.641918,0 days 00:00:48.641918000,0 days 00:00:49.569920000,search,0 days 12:06:23.641918000,0 days 12:06:24.569920000
12:07:06.379837,0 days 00:01:31.379837000,0 days 00:01:32.263680000,search,0 days 12:07:06.379837000,0 days 12:07:07.263680000
12:09:05.010597,0 days 00:01:45.010597000,0 days 00:01:45.036201000,empty,0 days 12:09:05.010597000,0 days 12:09:05.036201000
12:10:51.047699,0 days 00:01:45.047699000,0 days 00:01:45.073303000,empty,0 days 12:10:51.047699000,0 days 12:10:51.073303000
12:11:03.332800,0 days 00:00:12.332800000,0 days 00:00:12.801920000,search,0 days 12:11:03.332800000,0 days 12:11:03.801920000
12:12:21.413437,0 days 00:01:30.413437000,0 days 00:01:31.497597000,search,0 days 12:12:21.413437000,0 days 12:12:22.497597000
12:14:22.046997,0 days 00:01:45.046997000,0 days 00:01:45.072601000,empty,0 days 12:14:22.046997000,0 days 12:14:22.072601000
12:16:07.018898,0 days 00:01:45.018898000,0 days 00:01:45.044502000,empty,0 days 12:16:07.018898000,0 days 12:16:07.044502000
12:16:29.674240,0 days 00:00:21.674240000,0 days 00:00:22.417919000,search,0 days 12:16:29.674240000,0 days 12:16:30.417919000
12:17:12.501762,0 days 00:01:04.501762000,0 days 00:01:04.647682000,search,0 days 12:17:12.501762000,0 days 12:17:12.647682000
12:19:38.081001,0 days 00:01:45.081001000,0 days 00:01:45.106598000,empty,0 days 12:19:38.081001000,0 days 12:19:38.106598000
12:20:38.269119,0 days 00:00:59.269119000,0 days 00:01:00.492802000,search,0 days 12:20:38.269119000,0 days 12:20:39.492802000
12:23:08.899803,0 days 00:01:44.899803000,0 days 00:01:44.925400000,empty,0 days 12:23:08.899803000,0 days 12:23:08.925400000
12:24:55.011200,0 days 00:01:45.011200000,0 days 00:01:45.036797000,empty,0 days 12:24:55.011200000,0 days 12:24:55.036797000
12:26:39.986198,0 days 00:01:44.986198000,0 days 00:01:45.011803000,empty,0 days 12:26:39.986198000,0 days 12:26:40.011803000
12:28:25.894699,0 days 00:01:44.894699000,0 days 00:01:44.920303000,empty,0 days 12:28:25.894699000,0 days 12:28:25.920303000
12:29:29.998718,0 days 00:01:03.998718000,0 days 00:01:04.249573000,search,0 days 12:29:29.998718000,0 days 12:29:30.249573000
12:31:56.954903,0 days 00:01:44.954903000,0 days 00:01:44.980499000,empty,0 days 12:31:56.954903000,0 days 12:31:56.980499000
12:33:42.002899,0 days 00:01:45.002899000,0 days 00:01:45.028503000,empty,0 days 12:33:42.002899000,0 days 12:33:42.028503000
12:35:17.052483,0 days 00:01:34.052483000,0 days 00:01:34.407043000,search,0 days 12:35:17.052483000,0 days 12:35:17.407043000
12:35:28.234880,0 days 00:00:00.234880000,0 days 00:00:01.579520000,search,0 days 12:35:28.234880000,0 days 12:35:29.579520000
12:36:09.458561,0 days 00:00:41.458561000,0 days 00:00:42.649601000,search,0 days 12:36:09.458561000,0 days 12:36:10.649601000
12:36:31.026562,0 days 00:01:03.026562000,0 days 00:01:03.338879000,search,0 days 12:36:31.026562000,0 days 12:36:31.338879000
12:37:09.996201,0 days 00:01:41.996201000,0 days 00:01:42.688698000,search,0 days 12:37:09.996201000,0 days 12:37:10.688698000
