,start_time,end_time,activity,real_start,real_end
0 days 11:31:50.048401,0 days 00:01:45.048401000,0 days 00:01:45.073997000,empty,0 days 11:31:50.048401000,0 days 11:31:50.073997000
0 days 11:33:34.004799,0 days 00:01:45.004799000,0 days 00:01:45.030403000,empty,0 days 11:33:34.004799000,0 days 11:33:34.030403000
0 days 11:35:18.028503,0 days 00:01:45.028503000,0 days 00:01:45.054100000,empty,0 days 11:35:18.028503000,0 days 11:35:18.054100000
0 days 11:37:02.975403,0 days 00:01:44.975403000,0 days 00:01:45.000999000,empty,0 days 11:37:02.975403000,0 days 11:37:03.000999000
0 days 11:38:47.122597,0 days 00:01:45.122597000,0 days 00:01:45.148201000,empty,0 days 11:38:47.122597000,0 days 11:38:47.148201000
0 days 11:40:32.009300,0 days 00:01:45.009300000,0 days 00:01:45.034897000,empty,0 days 11:40:32.009300000,0 days 11:40:32.034897000
0 days 11:42:16.079697,0 days 00:01:45.079697000,0 days 00:01:45.105301000,empty,0 days 11:42:16.079697000,0 days 11:42:16.105301000
0 days 11:44:01.034203,0 days 00:01:45.034203000,0 days 00:01:45.059799000,empty,0 days 11:44:01.034203000,0 days 11:44:01.059799000
0 days 11:45:45.074600,0 days 00:01:45.074600000,0 days 00:01:45.100197000,empty,0 days 11:45:45.074600000,0 days 11:45:45.100197000
0 days 11:47:29.165398,0 days 00:01:45.165398000,0 days 00:01:45.191002000,empty,0 days 11:47:29.165398000,0 days 11:47:29.191002000
0 days 11:49:14.060402,0 days 00:01:45.060402000,0 days 00:01:45.085999000,empty,0 days 11:49:14.060402000,0 days 11:49:14.085999000
0 days 11:50:58.068199,0 days 00:01:45.068199000,0 days 00:01:45.093803000,empty,0 days 11:50:58.068199000,0 days 11:50:58.093803000
0 days 11:52:43.006699,0 days 00:01:45.006699000,0 days 00:01:45.032303000,empty,0 days 11:52:43.006699000,0 days 11:52:43.032303000
0 days 11:54:26.990097,0 days 00:01:44.990097000,0 days 00:01:45.015701000,empty,0 days 11:54:26.990097000,0 days 11:54:27.015701000
0 days 11:56:11.079002,0 days 00:01:45.079002000,0 days 00:01:45.104599000,empty,0 days 11:56:11.079002000,0 days 11:56:11.104599000
0 days 11:57:56.036797,0 days 00:01:45.036797000,0 days 00:01:45.062401000,empty,0 days 11:57:56.036797000,0 days 11:57:56.062401000
0 days 11:59:40.030998,0 days 00:01:45.030998000,0 days 00:01:45.056602000,empty,0 days 11:59:40.030998000,0 days 11:59:40.056602000
0 days 12:01:25.061798,0 days 00:01:45.061798000,0 days 00:01:45.087402000,empty,0 days 12:01:25.061798000,0 days 12:01:25.087402000
0 days 12:03:08.983002,0 days 00:01:44.983002000,0 days 00:01:45.008598000,empty,0 days 12:03:08.983002000,0 days 12:03:09.008598000
0 days 12:04:54.138603,0 days 00:01:45.138603000,0 days 00:01:45.164200000,empty,0 days 12:04:54.138603000,0 days 12:04:54.164200000
0 days 12:06:36.686401,0 days 00:01:43.686401000,0 days 00:01:45.301201000,search,0 days 12:06:36.686401000,0 days 12:06:38.301201000
0 days 12:06:56.395519,0 days 00:00:18.395519000,0 days 00:00:21.023359000,search,0 days 12:06:56.395519000,0 days 12:06:59.023359000
0 days 12:07:12.116482,0 days 00:00:34.116482000,0 days 00:00:35.348480000,buzz1,0 days 12:07:12.116482000,0 days 12:07:13.348480000
0 days 12:07:13.719040,0 days 00:00:35.719040000,0 days 00:00:36.702080000,search,0 days 12:07:13.719040000,0 days 12:07:14.702080000
0 days 12:10:07.051498,0 days 00:01:45.051498000,0 days 00:01:45.077103000,empty,0 days 12:10:07.051498000,0 days 12:10:07.077103000
0 days 12:10:28.127040,0 days 00:00:21.127040999,0 days 00:00:25.634001000,search,0 days 12:10:28.127040999,0 days 12:10:32.634001000
0 days 12:10:39.817921,0 days 00:00:32.817921000,0 days 00:00:34.226238000,approach,0 days 12:10:39.817921000,0 days 12:10:41.226238000
0 days 12:10:41.338558,0 days 00:00:34.338558000,0 days 00:00:34.795521000,search,0 days 12:10:41.338558000,0 days 12:10:41.795521000
0 days 12:11:59.711040,0 days 00:00:08.711040000,0 days 00:00:12.709760000,search,0 days 12:11:59.711040000,0 days 12:12:03.709760000
0 days 12:12:35.853119,0 days 00:00:44.853119000,0 days 00:00:45.437840000,search,0 days 12:12:35.853119000,0 days 12:12:36.437840000
0 days 12:12:39.866562,0 days 00:00:48.866562000,0 days 00:00:50.551682000,search,0 days 12:12:39.866562000,0 days 12:12:41.551682000
0 days 12:15:21.040604,0 days 00:01:45.040604000,0 days 00:01:45.066199999,empty,0 days 12:15:21.040604000,0 days 12:15:21.066199999
0 days 12:17:05.095703,0 days 00:01:45.095703000,0 days 00:01:45.121300000,empty,0 days 12:17:05.095703000,0 days 12:17:05.121300000
0 days 12:18:04.931198,0 days 00:01:00.931198000,0 days 00:01:02.135681000,search,0 days 12:18:04.931198000,0 days 12:18:06.135681000
0 days 12:19:23.149120,0 days 00:00:34.149120000,0 days 00:00:35.228161000,search,0 days 12:19:23.149120000,0 days 12:19:24.228161000
0 days 12:22:17.987503,0 days 00:01:44.987503000,0 days 00:01:45.013100000,empty,0 days 12:22:17.987503000,0 days 12:22:18.013100000
0 days 12:23:14.323200,0 days 00:00:56.323200000,0 days 00:00:57.805439000,buzz1,0 days 12:23:14.323200000,0 days 12:23:15.805439000
0 days 12:23:15.840641,0 days 00:00:57.840641000,0 days 00:00:58.248322000,search,0 days 12:23:15.840641000,0 days 12:23:16.248322000
0 days 12:25:37.579514,0 days 00:01:35.579514000,0 days 00:01:37.013123000,search,0 days 12:25:37.579514000,0 days 12:25:39.013123000
0 days 12:25:52.277440,0 days 00:00:05.277440000,0 days 00:00:06.571520000,search,0 days 12:25:52.277440000,0 days 12:25:53.571520000
0 days 12:27:39.702720,0 days 00:00:08.702720000,0 days 00:00:09.591680000,buzz1,0 days 12:27:39.702720000,0 days 12:27:40.591680000
0 days 12:27:40.667200,0 days 00:00:09.667200000,0 days 00:00:10.743680000,search,0 days 12:27:40.667200000,0 days 12:27:41.743680000
0 days 12:29:06.148804,0 days 00:01:35.148804000,0 days 00:01:36.044159000,search,0 days 12:29:06.148804000,0 days 12:29:07.044159000
0 days 12:29:29.022080,0 days 00:00:13.022080000,0 days 00:00:13.536640000,search,0 days 12:29:29.022080000,0 days 12:29:29.536640000
0 days 12:31:23.107201,0 days 00:00:23.107201000,0 days 00:00:24.901119000,search,0 days 12:31:23.107201000,0 days 12:31:24.901119000
0 days 12:32:02.142078,0 days 00:01:02.142078000,0 days 00:01:04.321281000,search,0 days 12:32:02.142078000,0 days 12:32:04.321281000
0 days 12:32:27.612801,0 days 00:01:27.612801000,0 days 00:01:27.989120000,search,0 days 12:32:27.612801000,0 days 12:32:27.989120000
0 days 12:32:43.750397,0 days 00:01:43.750397000,0 days 00:01:45.315903000,search,0 days 12:32:43.750397000,0 days 12:32:45.315903000
0 days 12:33:54.347198,0 days 00:01:09.347198000,0 days 00:01:10.353920000,search,0 days 12:33:54.347198000,0 days 12:33:55.353920000
0 days 12:34:27.575401,0 days 00:01:42.575401000,0 days 00:01:43.335701000,search,0 days 12:34:27.575401000,0 days 12:34:28.335701000
0 days 12:35:15.791039,0 days 00:00:46.791039000,0 days 00:00:47.938560000,approach,0 days 12:35:15.791039000,0 days 12:35:16.938560000
0 days 12:35:17.037121,0 days 00:00:48.037121000,0 days 00:00:48.963840000,search,0 days 12:35:17.037121000,0 days 12:35:17.963840000
0 days 12:35:26.281281,0 days 00:00:57.281281000,0 days 00:00:58.573441000,search,0 days 12:35:26.281281000,0 days 12:35:27.573441000
0 days 12:36:08.756798,0 days 00:01:39.756798000,0 days 00:01:41.447800000,search,0 days 12:36:08.756798000,0 days 12:36:10.447800000
0 days 12:37:12.448002,0 days 00:00:58.448002000,0 days 00:01:00.188801000,search,0 days 12:37:12.448002000,0 days 12:37:14.188801000
